title,home_type,home_status,year_built,address,city,state,postal_code,bedrooms,bathrooms,square_footage,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url,img
Foreclosure,SINGLE_FAMILY,FOR_SALE,1987,"95 Bartholomew Blvd, Powell, OH 43065",Powell,OH,43065,3,2.0,2021,200000.0,200000.0,763.8644727447261,1724.1978060780593,2300,16,,https://www.zillow.com/homedetails/95-Bartholomew-Blvd-Powell-OH-43065/33736520_zpid/,https://photos.zillowstatic.com/p_e/ISrhugn2syrtue1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"8219 Deep Run, Powell, OH 43065",Powell,OH,43065,5,6.0,5731,849900.0,528300.0,2017.7480047551942,4497.868004755194,4598,3,,https://www.zillow.com/homedetails/8219-Deep-Run-Powell-OH-43065/67325489_zpid/,https://photos.zillowstatic.com/p_e/ISj7dm9uv5widp1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2003,"3938 Hampshire Ave, Powell, OH 43065",Powell,OH,43065,3,3.0,2016,364900.0,252600.0,964.7608290765891,2199.927495743256,2300,3,,https://www.zillow.com/homedetails/3938-Hampshire-Ave-Powell-OH-43065/33733381_zpid/,https://photos.zillowstatic.com/p_e/ISrldqih8wupgd0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1997,"2185 Castlebrook Dr, Powell, OH 43065",Powell,OH,43065,4,4.0,3214,371900.0,291900.0,1114.8601979709279,2399.6935313042613,2500,212,,https://www.zillow.com/homedetails/2185-Castlebrook-Dr-Powell-OH-43065/33735312_zpid/,https://photos.zillowstatic.com/p_e/ISjvbt0zjkv9mo0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1972,"1651 Daventry Ln, Powell, OH 43065",Powell,OH,43065,5,6.0,7995,1597000.0,1047800.0,4001.88597270962,8484.702639376286,8585,53,,https://www.zillow.com/homedetails/1651-Daventry-Ln-Powell-OH-43065/33734820_zpid/,https://photos.zillowstatic.com/p_e/ISv86rlo985b6v1000000000.jpg
Home for sale,MANUFACTURED,FOR_SALE,1952,"4625 Seldom Seen Rd, Powell, OH 43065",Powell,OH,43065,2,1.0,904,26598.0,26598.0,101.58633623032114,503.9663362303212,1095,5,,https://www.zillow.com/homedetails/4625-Seldom-Seen-Rd-Powell-OH-43065/33733233_zpid/,https://photos.zillowstatic.com/p_e/IS7ee6b9o16zgm1000000000.jpg
Condo for sale,CONDO,FOR_SALE,1999,"3659 Niblick Pl, Powell, OH 43065",Powell,OH,43065,3,3.0,1870,269900.0,154200.0,588.9395084861839,1799.772841819517,1900,3,,https://www.zillow.com/homedetails/3659-Niblick-Pl-Powell-OH-43065/61484306_zpid/,https://photos.zillowstatic.com/p_e/ISv00x3jngnhqi0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2017,"1601 Abbotsford Green Dr, Powell, OH 43065",Powell,OH,43065,4,6.0,7776,1699500.0,1145200.0,4373.887970936302,9154.837970936302,9255,184,$500 (Nov 5),https://www.zillow.com/homedetails/1601-Abbotsford-Green-Dr-Powell-OH-43065/2083887486_zpid/,https://photos.zillowstatic.com/p_e/ISn2gkjbjvhtbm0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1973,"2920 Hyatts Rd, Powell, OH 43065",Powell,OH,43065,4,2.0,1680,299900.0,217300.0,829.9387496371448,1899.772082970478,2000,66,"$10,000 (Dec 4)",https://www.zillow.com/homedetails/2920-Hyatts-Rd-Powell-OH-43065/33744416_zpid/,https://photos.zillowstatic.com/p_e/ISzzpz761tjb1q0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2004,"4155 Village Club Dr, Powell, OH 43065",Powell,OH,43065,5,5.0,5457,649900.0,401600.0,1533.83986127141,3488.916527938077,3589,233,$100 (Nov 11),https://www.zillow.com/homedetails/4155-Village-Club-Dr-Powell-OH-43065/61484092_zpid/,https://photos.zillowstatic.com/p_e/ISz3d4u9skttmr0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,1991,"264 Woodsfield Ct, Powell, OH 43065",Powell,OH,43065,4,3.0,2876,378900.0,287800.0,1099.2009762796608,2394.750976279661,2495,43,"$10,600 (Dec 4)",https://www.zillow.com/homedetails/264-Woodsfield-Ct-Powell-OH-43065/33736690_zpid/,https://photos.zillowstatic.com/p_e/ISn2s1dnl8qnaw0000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2005,"2028 Loch Lomond Dr, Powell, OH 43065",Powell,OH,43065,5,6.0,7373,1195000.0,781500.0,2984.800427250017,6401.847093916685,6502,36,,https://www.zillow.com/homedetails/2028-Loch-Lomond-Dr-Powell-OH-43065/61484591_zpid/,https://photos.zillowstatic.com/p_e/ISz787k98w67t30000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2000,"801 Autumn Ln, Powell, OH 43065",Powell,OH,43065,6,9.0,9934,1499900.0,977400.0,3733.005678303476,7952.90901163681,8053,318,,https://www.zillow.com/homedetails/801-Autumn-Ln-Powell-OH-43065/55628889_zpid/,https://photos.zillowstatic.com/p_e/ISv4b8n33ynjy71000000000.jpg
For sale by owner,SINGLE_FAMILY,FOR_SALE,1901,"2635 Main St, Powell, OH 43065",Powell,OH,43065,3,2.0,1600,200000.0,0,763.8644727447261,0,,96,,https://www.zillow.com/homedetails/2635-Main-St-Powell-OH-43065/102358632_zpid/,https://photos.zillowstatic.com/p_e/IS3ny84u6qr9t30000000000.jpg
Condo for sale,CONDO,FOR_SALE,1998,"348 Park Woods Ln, Powell, OH 43065",Powell,OH,43065,3,3.0,1750,265000.0,156300.0,596.9600854500034,1799.62675211667,1900,10,,https://www.zillow.com/homedetails/348-Park-Woods-Ln-Powell-OH-43065/33736291_zpid/,https://photos.zillowstatic.com/p_e/ISzrzdngx1fatr1000000000.jpg
House for sale,SINGLE_FAMILY,FOR_SALE,2001,"7475 Fairfield Lakes Dr, Powell, OH 43065",Powell,OH,43065,4,3.0,3974,374900.0,290600.0,1109.895078898087,2399.7284122314204,2500,63,"$5,000 (Nov 25)",https://www.zillow.com/homedetails/7475-Fairfield-Lakes-Dr-Powell-OH-43065/55629769_zpid/,https://photos.zillowstatic.com/p_e/ISv82ooxurg70k1000000000.jpg
Condo for sale,CONDO,FOR_SALE,2004,"4821 Oakland Ridge Dr, Powell, OH 43065",Powell,OH,43065,3,3.0,2088,364900.0,213500.0,815.425324654995,2274.8419913216617,2375,8,,https://www.zillow.com/homedetails/4821-Oakland-Ridge-Dr-Powell-OH-43065/82190579_zpid/,https://photos.zillowstatic.com/p_e/ISb5yy4eyqpuds0000000000.jpg
